closed_id,size,contains_x,contains_y,block_count,shadow_count,rank,num_minimum_generating_sets,first_minimum_generators,elements
17443,14,True,True,4,5,6,20,2 16 17 22 39 82,1 2 6 7 16 17 22 33 39 81 82 86 87 96
17444,14,False,True,4,5,5,2,16 17 34 39 86,1 2 6 7 16 17 33 34 39 81 82 86 87 96
17445,14,False,False,4,5,5,12,6 7 32 33 82,1 2 6 7 16 17 32 33 48 81 82 86 87 96
17446,14,True,True,4,5,6,20,1 2 22 32 39 82,1 2 6 7 16 22 32 39 48 81 82 86 87 96
17447,14,False,True,4,5,5,2,16 34 39 49 86,1 2 6 7 16 33 34 39 49 81 82 86 87 96
17448,14,False,False,4,5,5,32,1 6 7 16 50,1 2 6 7 16 33 34 49 50 81 82 86 87 96
17449,14,False,True,4,5,5,16,2 6 16 33 55,1 2 6 7 16 33 39 49 55 81 82 86 87 96
17450,14,False,False,4,5,5,18,6 7 48 49 82,1 2 6 7 16 33 48 49 64 81 82 86 87 96
17451,14,False,True,4,5,5,16,1 2 6 48 55,1 2 6 7 16 39 48 55 64 81 82 86 87 96
17452,14,True,False,4,5,5,2,16 18 22 65 87,1 2 6 7 16 17 18 22 65 81 82 86 87 96
17453,14,False,False,6,5,6,36,6 7 16 17 49 82,1 2 6 7 16 17 33 49 65 81 82 86 87 96
17454,14,True,True,6,5,5,4,18 22 39 49 96,1 17 18 22 33 34 39 49 65 81 82 86 87 96
17455,14,False,False,4,5,5,32,1 6 7 16 66,1 2 6 7 16 17 18 65 66 81 82 86 87 96
17456,14,True,True,6,5,5,24,1 2 16 22 55,1 2 6 7 16 22 39 55 70 81 82 86 87 96
17457,14,True,False,4,5,5,16,2 7 16 17 70,1 2 6 7 16 17 22 65 70 81 82 86 87 96
